CAT,LIB
Entertainment-Games,DPAIEMENT TPE PORTEUR UIB GAMES STORES STE BOULILA GROS DE VENT
Health & Fitness-Eye care,DPAIEMENT TPE PORTEUR CONF EYEGLASSES STE OPTIC CENTRALE
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB DOCTORS DR BAHLOUL SONIA
Personal Care-Spa & Massage,DPAIEMENT TPE PORTEUR UIB HEALTH SPA /BEAUTY SPA LILI FORM
Shopping-General,DPAIEMENT TPE PORTEUR UIB Tourist Attractions and Exhibits STE MERIAM SARL
Food & Dining-Bars,DPAIEMENT TPE PORTEUR UIB BARS LE 716
Travel-Air Travel,DPAIEMENT TPE PORTEUR UIB Tunis Air TRANSPORT AERIEN
Personal Care-Beauty & Hair,"DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS KESKES MAHASSEN "" CENTRE"
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB COMPUTERS PERIPHERAL EQU. STE MAGEEK.NET SARL
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB HOUSEHOLD APPLIANCE STORE STE DECOGATO
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB BOOK STORES ESPACE KOUNOUZ
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO MR BARG SADOK B SALAH
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD SOUKRA
Health & Fitness-Medical Equipment & analysis ,DPAIEMENT TPE PORTEUR UIB MEDICAL LABORATORIES LABORATOIRE D'ANALYSE ME
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB AUTOMOBILE DEALERS STE AUTOMOBILES ET DEVEL
Entertainment-Arts & Photography,"DPAIEMENT TPE PORTEUR UIB Commercial Art, Graphics, Photography ETS WALID CHAKROUN"
Auto & Transport-Service & Auto Parts,"DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS AUTOMOTIVE, ELKHAL ELTAIEF BECHIR  AVENIR AUTO"
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB FAST FOOD REST. LA BOULE D OR
Shopping-Sporting Goods,DPAIEMENT TPE PORTEUR UIB SPORTING GOODS STORES DECATHLON TUNISIE SARL
Auto & Transport-Service & Auto Parts,"DPAIEMENT TPE PORTEUR UIB Pièces des véhicules à moteur, magasins d'accessoires SOCIETE CHAMAM"
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB WOMENS RAEDY-TO-WEAR STRS celio
Fees & Charges-Bank Fees & Commissions,DCLÔTURE DE COMPTE-   
Fees & Charges-credit repayment,DREMBOURS. ECHEANCE CREDIT-   
Income-Income,CDEBLOCAGE CREDIT-   
Income-Income,CGARANTIE INCENDIE-   
Uncategorized-Check,DCHQ MEME AGENCE-   
Fees & Charges-Bank products,DKIT OXYGENE SMS-   
Fees & Charges-Late Fee,DFRAIS ECHEANCE CRD IMPAYEE-   
Fees & Charges-Commissions,DDOMICILIATION TIT COMM-   
Uncategorized-Check,DRETRAIT CHEQUE-   
Fees & Charges-Bank Fees & Commissions,DTRF-FINAN-FIXING-   
Uncategorized-EFFET,DEFFET.ESC.IMPAYE-   
Fees & Charges-saving,DCAP EPARGNE-   
Fees & Charges-Bank products,DJOKER KIT-   
Income-Income,CVIREMENT RECU AUTRE AGENCE-   
Income-Income,CVERSEMENT INTERETS/CAT-   
Fees & Charges-Bank Fees & Commissions,DCERTIF. CHEQUE-   
Uncategorized-Transfer,DVIREMENT EMIS AUTRE AGENCE-   
Fees & Charges-Bank Fees & Commissions,DCOM MEP AUTO-   
Income-Income,CAPUREMENT OP MONETIQ INTER-   
Fees & Charges-Commissions,DPERCEPT/EXTOURNE COMMISSIONS-   
Fees & Charges-Bank Fees & Commissions,DCHQ AUTRE AG RECU-   
Fees & Charges-Bank Fees & Commissions,DVIREMENT EMIS AUTRE BANQUE-   
Uncategorized-EFFET,DEFFET PAYE-   
Fees & Charges-Bank Fees & Commissions,DCHQ RECUS COMP-   
Fees & Charges-Bank products,DKIT VISA ELECTRON SMS-   
Fees & Charges-Bank Fees & Commissions,DRECUPERATION FRAIS ARCHIVES-   
Fees & Charges-Bank Fees & Commissions,DREGULARISATION-   
Income-Income,CREMISE CHEQUES DEPLACEE-   
Business Services-Financial Services,DTRF-COMMER-NEGOCIE-   
Fees & Charges-Bank Fees & Commissions,DPRELEVEMENT NUMERO:-   
Income-Income,CVIREMENT MM AGENCE/MM CLIENT-   
Fees & Charges-Bank products,DABONNEMENT MESSA'GEK-   
Uncategorized-Transfer,DVIREMENT MULTIPLE EMIS-   
Uncategorized-EFFET,DFRAIS/REM.EFFET-   
Uncategorized-Cash & ATM,DRETRAIT AVEC IMPRIME-   
Uncategorized-Cash & ATM,DRETRAIT PORTEUR UIB / DAB CONF-   
Fees & Charges-Bank products,DSOUSCRIPTION CAT-   
Income-Income,CVERSEMENT ESPECE DEPLACE-   
Income-Income,CDA- FACTURE - REGLEMENT-   
Income-Income,CNIVELLEMENT POUR MIGRATION-   
Uncategorized-Cash & ATM,DRETRAIT DAB UIB PORTEUR UIB-   
Fees & Charges-Bank Fees & Commissions,DFRAIS/REMISE CHQ-   
Income-Income,CESCOMPTE EFFET AUTRE BQ HP-   
Income-Income,CSORT EFFET AUTRE AG/BQ-   
Fees & Charges-Bank Fees & Commissions,DFRAIS DE TENUE DE COMPTE-   
Income-Income,CREMBOURSEMENT CAT-   
Fees & Charges-Bank Fees & Commissions,DTRF-SCOL-FIXING-   
Uncategorized-Transfer,DAVA FRAIS ANUEL-   
Income-Income,CTRF-SCOL-NEGOCIE-   
Fees & Charges-Late Fee,DBLOCAGE / CPTE MARGE-   
Income-Income,CESCOMPTE EFFET AUTRE BQ-   
Fees & Charges-Commissions,DPERCEP/EXT COM.CAUT.EMISES SBE-   
Fees & Charges-Late Fee,DFRAIS DE DEPASSEMENT-   
Fees & Charges-credit repayment,DRECOUV. IMPAYES CREDIT-   
Fees & Charges-Commissions,DCOMM. REMB. ANTICIPE CRD-   
Fees & Charges-Bank Fees & Commissions,CRPT-FIN-FIXING-   
Fees & Charges-Bank Fees & Commissions,DDEMANDE EXTRAIT DE COMPTE-   
Uncategorized-Transfer,DOPE COM ETR-UNIB-   
Uncategorized-Cash & ATM,DRETRAIT DEP. AVEC IMPRIME-   
Fees & Charges-Late Fee,DBLOCAGE PROV.CHQ-   
Uncategorized-Transfer,DVIREMENT MEME AGENCE-   
Income-Income,CREGLEMENT NOTIFICATION-   
Uncategorized-Transfer,DVIREMENT RECU MEME AGENCE-   
Uncategorized-EFFET,DEFFET IMPAYE-   
Income-Income,CASSURANCE VIE-   
Fees & Charges-Bank Fees & Commissions,DSAISIE DE L'AVAL EN DEVISE-   
Uncategorized-EFFET,DREGLEMENT EFFETS ET OBLIGATION-   
Fees & Charges-Bank products,DASSUR FAMILLE-   
Fees & Charges-Bank products,DASSURANCE JOKER-   
Fees & Charges-Late Fee,CEXT-BLOCAGE/CHQ-   
Income-Income,CVERSEMENT ESPECES-   
Income-Income,CVIREMENT RECU CONFRERE-   
Fees & Charges-credit repayment,DFR. MISE EN PLACE CREDIT-   
Income-Income,CRPT-COM-FIXING
Income-Income,CACHAT DE DEVISES
Income-Income,CVERSEMENT INTERETS/BDC
Income-Income,CESCOMPTE AVAL AUTRE BQ HP
Fees & Charges-Bank products,DKIT MASTERCARD NATIONALE SMS
Income-Income,CREMBOURSEMENT BDC
Fees & Charges-Bank products,DKIT VISA ELECTRON UIBNET SMS
Income-Income,CREMISES CHEQUES
Income-Income,CTRAITEMENTS MDP
Fees & Charges-Bank products,DKIT OXYGENE UIBNET
Fees & Charges-Bank Fees & Commissions,DCOM MEP/ANN PROCURATION/CPTE
Income-Income,CRPT-COM-NEGOCIE
Income-Income,CTRF-FINAN-NEGOCIE
Income-Income,CANNUL.CHQ CERTIF
Income-Income,CRPT-SGMT
Uncategorized-Transfer,DVIREMENT PERMANENT GRH
Uncategorized-BDC,DSOUSCRIPTION BDC
Fees & Charges-Bank Fees & Commissions,DAMENDE 10-20% TRESOR
Uncategorized-Check,DSORT CHQ IMP
Fees & Charges-Bank Fees & Commissions,DCOM . DELIVRANCE  ATTESTATION
Income-Income,CVERSEMENT ESPECES GAB
Income-Income,CRPT-COM-NEGOCIE
Uncategorized-EFFET,DEFFET RECUS DES AGENCES
Fees & Charges-Bank Fees & Commissions,DREEDITION CODE  PIN
Income-Income,CRPT-SANS FRAIS-FIXING
Fees & Charges-Finance Charge,DTRAITEMENT JURIDIQUE
Fees & Charges-Bank products,DPACK PLATINE
Income-Income,CTRAITEMENT RH SOCIAL
Income-Income,CACHAT DE DEVISES
Fees & Charges-Bank products,DUIBNET
Income-Income,CCLOTURE DE COMPTE
Income-Income,CANNUL.CHQ CERTIF
Fees & Charges-Service Fee,DRECOUV IMP CDT CAP
Income-Income,CRPT-COM-FIXING
Income-Income,CTRF-COMMER-FIXING
Income-Income,CVERSEMENT INTERETS/BDC
Fees & Charges-credit repayment,DOUVER REMDOC IMP DOM
Income-Income,CRPT-FIN-VALEUR JOUR
Income-Income,CVIREMENT REJET COMPENS
Income-Income,CREG PAYE CHQ EXP
Uncategorized-Uncategorized,DSAISIE DES CAUTIONS
Uncategorized-Transfer,DVIR JUNIOR AUTRE AGENCE
Uncategorized-Cash & ATM,DPORTEUR UIB OP MONETIQ INTERN
Income-Income,COUVERTURE MCNE
Income-Income,CREG PAYE REMDOC IMP DOM
Fees & Charges-Bank products,DKIT VISA ELECTRON UIBNET SMS
Fees & Charges-Bank products,DABONNEMENT UIBSWIFT
Income-Income,CRPT-SGMT
Uncategorized-EFFET,DSORT EFFET MEME AG
Income-Income,CREMBOURSEMENT BDC
Fees & Charges-credit repayment,DANNULATION CREDOC IMP
Fees & Charges-Bank products,DABONNEMENT CARTE OXYGENE
Fees & Charges-Bank products,DABONNEMENT CARTE MOUV
Fees & Charges-Bank products,DKIT TP UIBNET
Uncategorized-Transfer,DGRH- SALAIRES ET PRIMES
Fees & Charges-Bank products,DKIT BUS INTERN. UIBNET PRO
Income-Income,EXTOURNE REMISE ESC
Income-Income,CREGUL .ERREUR DE CAISSE
Fees & Charges-Bank products,DABONNEMENT MASTER NAT
Fees & Charges-Bank products,DABONNEMENT CARTE CIBT
Uncategorized-Transfer,DINTERETS / AVANCE CAT
Income-Income,CRPT-I-TRANSFERT
Fees & Charges-Bank Fees & Commissions,DOPPOSITION
Fees & Charges-Bank products,DUIB@NKING MT940 CONFRERE
Income-Income,BOURSE
Income-Income,GRH- DIVERS RH
Fees & Charges-Bank products,KIT BUS INTERN. UIBNET PRO
Fees & Charges-Bank products,KIT BUS NATION. UIBNET PRO
Fees & Charges-Bank Fees & Commissions,DFRAIS REMISES CHQ
Fees & Charges-credit repayment,DAVAL PAYE
Fees & Charges-Bank products,KIT PRO
Fees & Charges-Bank products,KIT BUSINESS INETRNATIONAL SMS
Fees & Charges-Bank products,UIB@NKING MT940 CONFRERE
Fees & Charges-Bank Fees & Commissions,OPPOSITION
Fees & Charges-Bank products,PACK PLATINE DC
Fees & Charges-credit repayment,DOUVER REMDOC EXP
Fees & Charges-Bank products,PACK PLATINE INR
Fees & Charges-Bank products,KIT BUS NATION. UIBNET SMS PRO
Fees & Charges-Bank products,KIT MASTERCARD NAT UIBNET SMS
Uncategorized-BDC,DTOMBEE BDC
Income-Income,RPT-COM-VALEUR JOUR
Uncategorized-Cash & ATM,RETRAIT DIVERS
Fees & Charges-Bank products,ABONNEMENT CARTE MOUV
Income-Income,ESCOMPTE AVAL AUTRE BQ
Fees & Charges-Bank products,ABONNEMENT CARTE BUSINESS NAT
Fees & Charges-Bank products,ABONNEMENT C. BUSINESS INTER
Income-Income,EXTOURNE REMISE ESC
Fees & Charges-Bank Fees & Commissions,OPPOSITION CHQ
Fees & Charges-Bank products,DNOUVEAUX DIGIPASS
Uncategorized-Cash & ATM,RETRAIT DEVISE FIXING
Fees & Charges-Bank products,KIT PRO ALLIANCE
Income-Income,TRAITEMENT COMPTABLE  RH
Fees & Charges-Bank products,DREFECTION CARTE VE
Fees & Charges-Bank products,KIT TP MESSAGEK
Fees & Charges-Bank Fees & Commissions,DTRF-INTRA-FIXING
Uncategorized-EFFET,DMODIFICAT° EFFET
Fees & Charges-Bank products,KIT BUS INTETN. UIBNET SMS PRO
Income-Income,REGULARISATIONS DR
Fees & Charges-Bank products,KIT TP UIBNET
Uncategorized-Uncategorized,DOD MM DINAR
Fees & Charges-Bank products,KIT BUSINESS NATIONALE SMS
Fees & Charges-credit repayment,DIMPAYES DE CONSOLIDATION
Income-Income,VIREMENT RECU
Fees & Charges-Bank products,PACK PLATINE D
Fees & Charges-Bank Fees & Commissions,DTRF-SANS FRAIS-FIXING
Income-Income,TRF INTRA AUTRE AGENCE
Income-Income,BOURSE
Uncategorized-Cash & ATM,RETRAIT DEV/CHQ
Fees & Charges-Finance Charge,DREGUL RECOUV CLT
Income-Income,COMM SOUS DELEGATAIRE/ACHAT BB
Fees & Charges-Bank products,DLOCATION COFFRE-FORT
Income-Income,RPT-I-TRANSFERT
Fees & Charges-Commissions,DCOMMISSION / AVA
Fees & Charges-Bank products,ABONNEMENT UIB@NKING
Income-Income,DELIVRANCE BON A PAYER
Fees & Charges-Bank products,KIT OXYGENE UIBNET SMS
Income-Income,CVIRT LORO BATEAU RECU AUTRE AG
Uncategorized-Transfer,DVIR SEUIL
Income-Income,CREDIT RELAIS
Uncategorized-Transfer,DREMB AVANCE CAT
Fees & Charges-Bank products,KIT MASTERCARD NATIONAL UIBNET
Fees & Charges-credit repayment,DREG CREDOC EXP N CONF CLIENT
Fees & Charges-Bank Fees & Commissions,DSAISIE D'OBLIGATION CAUTIONNEE
Fees & Charges-Bank products,DABON CARTE PLAT. BUSINES INTER
Income-Income,VERSEMENT DEVISES
Income-Income,COMMISSIONS ETRANGER
Uncategorized-EFFET,DPROROGAT° EFFET
Fees & Charges-Bank products,JOKER PRO KIT PRO
Income-Income,CVIRT LORO & BATEAU MM AGENCE
Uncategorized-TRF,DTRF-SANS FRAIS-NEGOCIE
Uncategorized-Transfer,GRH- SALAIRES ET PRIMES
Income-Income,REGUL .ERREUR DE CAISSE
Income-Income,PROROGATION MCNE
Fees & Charges-Bank products,ABONNEMENT MASTER NAT
Fees & Charges-Bank products,ABONNEMENT CARTE CIBT
Fees & Charges-credit repayment,DREGLEMENT ECHEANCE ALTERNA
Income-Income,REGUL.INTERET PERC.AVANCE
Income-Income,EXT COM FRAIS RET GAR/CAUT
Income-Income,GRH- DIVERS RH
Uncategorized-Transfer,INTERETS / AVANCE CAT
Fees & Charges-Bank products,UIB@NKING INTRADAY MT942
Fees & Charges-Bank Fees & Commissions,DAVA FRAIS MENSUEL
Uncategorized-Transfer,DTRAITEMENTS BOURSE
Uncategorized-Uncategorized,DCUSTODY
Fees & Charges-Bank products,ABONNEMENT CARTE PLATINUM BUSI
Fees & Charges-Bank products,ABONNEMENT PLATINUM NAT
Income-Income,ESCOMPTE EFFET AUTRE AG HP
Fees & Charges-Bank Fees & Commissions,DRECHARGE GAB
Uncategorized-EFFET,DOUVER EFEET IMP DOM
Uncategorized-Uncategorized,DREG TOTAL / PART IMP KH
Uncategorized-TRF,DTRF-SGMT-VAL JOUR
Fees & Charges-Bank Fees & Commissions,SAISIE D'AVAL EN DINARS
Income-Income,AVANCE SUR CAT
Income-Income,EXTOURNE PIECE
Uncategorized-Uncategorized,DGESTION FONDS BCT / LCE
Fees & Charges-credit repayment,OUV CREDOC EXP NON CONF CLIENT
Income-Income,CCLOTURE CREDOC IMP
Fees & Charges-Bank products,ABONNEMENT MASTER INT
Fees & Charges-credit repayment,MODIF REMDOC EXP
Fees & Charges-Bank products,DPROVISION COFFRE FORT
Income-Income,CED PP RAD CONS
Uncategorized-TRF,DTRF-INTRA-NEGOCIE
Fees & Charges-Late Fee,FRAIS CONTENTIEUX
Income-Income,MODIFICATION DES CAUTIONS
Uncategorized-Check,DREG CNP CHQ N°
Fees & Charges-Bank Fees & Commissions,DRETENUE-SOURCE / PV
Fees & Charges-Bank products,UIB@NKING DEVISES MT101
Income-Income,CCHARGEMENT CARTE SALAIRE
Fees & Charges-Bank products,ABONNEMENT SAFAR CARD
Fees & Charges-Bank Fees & Commissions,SAISIE AUTRES CAUTIONNEMENTS
Income-Income,CUTILISATION CREDIT ALTERNA
Fees & Charges-Bank products,ABONNEMENT PLATINUM INTERNAT
Income-Income,ESCOMPTE AVAL AUTRE AG HP
Fees & Charges-Bank Fees & Commissions,DMODIF REMDOC IMP DOM
Income-Income,CHEQUE TRESOR
Fees & Charges-Bank products,DREFECTION CARTE OXY
Fees & Charges-credit repayment,DECHEANCE DAT NANTI
Fees & Charges-Bank Fees & Commissions,DAGIOS DU JJMMAA AU JJMMAA
Fees & Charges-Late Fee,DINT RETARD / IMP
Income-Income,COMPENSATION E-COMMERCE EN DEV
Income-Income,RG PAYE-CHQ-IMP
Fees & Charges-Bank products,CHARGEMENT CARTE MOUV
Uncategorized-TRF,DTRF/CHQ INTRA MM DEV AUTR AGE
Fees & Charges-Bank products,REFECTION CARTE KINZ
Uncategorized-Transfer,REMB AVANCE SUR BDC
Uncategorized-EFFET,DREG PAYE EFFET IMP DOM
Fees & Charges-Bank Fees & Commissions,CHQ EN TND / CPTE EN DEV
Uncategorized-TRF,DTRF-FINAN-VALEUR JOUR
Income-Income,AVANCE SUR BDC
Fees & Charges-Bank products,ABONNEMENT UIB SIOR
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter MAGAZIN ZEDD SFAX
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES JEBEL MOUFIDA
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HOTEL JASMIN
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERMARCHE SHOPPING CLUB
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB AUTOMOBILE DEALERS STE AUTOMOBILES ET DEVEL
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES PATISS MASMOUDI LA MARSA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LE KRAM/SODEXO
Auto & Transport-Gas & Fuel,DPAIEMENT TPE PORTEUR UIB Petroleum/Petrol products Station de services
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE SEMA GRAIET MONASTIR
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SIPAH REST LE PIRATE
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter MAGAZIN ZEDD SFAX
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BOUSSAFARA FATMA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN MONASTIR
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS PARADIS DE LA MARSA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE JOLIESSE NEGOCE
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CLINIQUE LES VIOLETTES
Auto & Transport-Gas & Fuel,DPAIEMENT TPE PORTEUR UIB Petroleum/Petrol products MOUHAJRI STATIONS SERVICES TOTAL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE BBM RESTAURATION
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB HOSPITALS I.H.C.T
Bills and Utilities-Mobile Phone,DPAIEMENT TPE PORTEUR UIB TELECOMMUNICATIONS EQUP. RECHARGE DAB UIB
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES STE  RAIS DE COMMERCE
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE MUGUET PARFUM
Shopping-Sporting Goods,DPAIEMENT TPE PORTEUR UIB SPORTING GOODS STORES DECATHLON TUNISIE SARL
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CHANGUEL KARIM
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO MR BARG SADOK B SALAH
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB BOOK STORES ESPACE KOUNOUZ
Health & Fitness-Medical Equipment & medical analysis,DPAIEMENT TPE PORTEUR UIB MEDICAL LABORATORIES LABORATOIRE D'ANALYSE ME
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HTL RIADH PALMS
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB HARDWARE STORES STE ITECH PRO
Travel-Air Travel,DPAIEMENT TPE PORTEUR UIB Tunis Air TRANSPORT AERIEN
Personal Care-Spa & Massage,DPAIEMENT TPE PORTEUR UIB HEALTH SPA /BEAUTY SPA LILI FORM
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS MAGASIN GHARBI / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE 101 SARL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LA MARSA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STREET FOOD SOLUTIONS
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE FTOUH ABID
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS BEAUTY SHOP
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BELHADJ WAFA
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES PATISSERIE MASMOUDI  LA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter STE RAMOUNA DE COMMERCE
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BEN ABDALLAH ANIS
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS ENNASR MARKET/SODEXO
Personal Services-Repairs & Maintenance,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE LAQUIMCO
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES BALTI ET BALTI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE AYACHI ELYES
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PCIE SLIMANE ABDELMONEM
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS ZAHOU SALEM -SUPERETTE S
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES OLFA EL GHARBI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BEN HASSINE AM
