CAT,LIB
Auto & Transport,PAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO MR BARG SADOK B SALAH
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD SOUKRA
Health & Fitness,PAIEMENT TPE PORTEUR UIB MEDICAL LABORATORIES LABORATOIRE D'ANALYSE ME
Auto & Transport,PAIEMENT TPE PORTEUR UIB AUTOMOBILE DEALERS STE AUTOMOBILES ET DEVEL
Entertainment,"PAIEMENT TPE PORTEUR UIB Commercial Art, Graphics, Photography ETS WALID CHAKROUN"
Auto & Transport,"PAIEMENT TPE PORTEUR UIB MISCELLANEOUS AUTOMOTIVE, ELKHAL ELTAIEF BECHIR  AVENIR AUTO"
Food & Dining,PAIEMENT TPE PORTEUR UIB FAST FOOD REST. LA BOULE D OR
Shopping,PAIEMENT TPE PORTEUR UIB SPORTING GOODS STORES DECATHLON TUNISIE SARL
Auto & Transport,"PAIEMENT TPE PORTEUR UIB Pièces des véhicules à moteur, magasins d'accessoires SOCIETE CHAMAM"
Shopping,PAIEMENT TPE PORTEUR UIB WOMENS RAEDY-TO-WEAR STRS celio
Fees & Charges,CLÔTURE DE COMPTE-   
Fees & Charges,REMBOURS. ECHEANCE CREDIT-   
Uncategorized,CHQ MEME AGENCE-   
Fees & Charges,KIT OXYGENE SMS-   
Fees & Charges,FRAIS ECHEANCE CRD IMPAYEE-   
Fees & Charges,DOMICILIATION TIT COMM-   
Uncategorized,RETRAIT CHEQUE-   
Fees & Charges,TRF-FINAN-FIXING-   
Uncategorized,EFFET.ESC.IMPAYE-   
Fees & Charges,CAP EPARGNE-   
Fees & Charges,JOKER KIT-   
Fees & Charges,CERTIF. CHEQUE-   
Uncategorized,VIREMENT EMIS AUTRE AGENCE-   
Fees & Charges,COM MEP AUTO-   
Fees & Charges,PERCEPT/EXTOURNE COMMISSIONS-   
Fees & Charges,CHQ AUTRE AG RECU-   
Fees & Charges,VIREMENT EMIS AUTRE BANQUE-   
Uncategorized,EFFET PAYE-   
Fees & Charges,CHQ RECUS COMP-   
Fees & Charges,KIT VISA ELECTRON SMS-   
Fees & Charges,RECUPERATION FRAIS ARCHIVES-   
Fees & Charges,REGULARISATION-   
Business Services,TRF-COMMER-NEGOCIE-   
Fees & Charges,PRELEVEMENT NUMERO:-   
Fees & Charges,ABONNEMENT MESSA'GEK-   
Uncategorized,VIREMENT MULTIPLE EMIS-   
Uncategorized,FRAIS/REM.EFFET-   
Uncategorized,RETRAIT AVEC IMPRIME-   
Uncategorized,RETRAIT PORTEUR UIB / DAB CONF-   
Fees & Charges,SOUSCRIPTION CAT-   
Uncategorized,RETRAIT DAB UIB PORTEUR UIB-   
Fees & Charges,FRAIS/REMISE CHQ-   
Fees & Charges,FRAIS DE TENUE DE COMPTE-   
Fees & Charges,TRF-SCOL-FIXING-   
Uncategorized,AVA FRAIS ANUEL-   
Fees & Charges,BLOCAGE / CPTE MARGE-   
Fees & Charges,PERCEP/EXT COM.CAUT.EMISES SBE-   
Fees & Charges,FRAIS DE DEPASSEMENT-   
Fees & Charges,RECOUV. IMPAYES CREDIT-   
Fees & Charges,COMM. REMB. ANTICIPE CRD-   
Fees & Charges,RPT-FIN-FIXING-   
Fees & Charges,DEMANDE EXTRAIT DE COMPTE-   
Uncategorized,OPE COM ETR-UNIB-   
Uncategorized,RETRAIT DEP. AVEC IMPRIME-   
Fees & Charges,BLOCAGE PROV.CHQ-   
Uncategorized,VIREMENT MEME AGENCE-   
Uncategorized,VIREMENT RECU MEME AGENCE-   
Uncategorized,EFFET IMPAYE-   
Fees & Charges,SAISIE DE L'AVAL EN DEVISE-   
Uncategorized,REGLEMENT EFFETS ET OBLIGATION-   
Fees & Charges,ASSUR FAMILLE-   
Fees & Charges,ASSURANCE JOKER-   
Fees & Charges,EXT-BLOCAGE/CHQ-   
Fees & Charges,FR. MISE EN PLACE CREDIT-   
Fees & Charges,KIT MASTERCARD NATIONALE SMS
Fees & Charges,KIT VISA ELECTRON UIBNET SMS
Fees & Charges,KIT OXYGENE UIBNET
Fees & Charges,COM MEP/ANN PROCURATION/CPTE
Uncategorized,VIREMENT PERMANENT GRH
Uncategorized,SOUSCRIPTION BDC
Fees & Charges,AMENDE 10-20% TRESOR
Uncategorized,SORT CHQ IMP
Fees & Charges,COM . DELIVRANCE  ATTESTATION
Uncategorized,EFFET RECUS DES AGENCES
Fees & Charges,REEDITION CODE  PIN
Fees & Charges,TRAITEMENT JURIDIQUE
Fees & Charges,PACK PLATINE
Fees & Charges,UIBNET
Fees & Charges,RECOUV IMP CDT CAP
Fees & Charges,OUVER REMDOC IMP DOM
Uncategorized,SAISIE DES CAUTIONS
Uncategorized,VIR JUNIOR AUTRE AGENCE
Uncategorized,PORTEUR UIB OP MONETIQ INTERN
Fees & Charges,KIT VISA ELECTRON UIBNET SMS
Fees & Charges,ABONNEMENT UIBSWIFT
Uncategorized,SORT EFFET MEME AG
Fees & Charges,ANNULATION CREDOC IMP
Fees & Charges,ABONNEMENT CARTE OXYGENE
Fees & Charges,ABONNEMENT CARTE MOUV
Fees & Charges,KIT TP UIBNET
Uncategorized,GRH- SALAIRES ET PRIMES
Fees & Charges,KIT BUS INTERN. UIBNET PRO
Fees & Charges,ABONNEMENT MASTER NAT
Fees & Charges,ABONNEMENT CARTE CIBT
Uncategorized,INTERETS / AVANCE CAT
Fees & Charges,OPPOSITION
Fees & Charges,UIB@NKING MT940 CONFRERE
Fees & Charges,IT BUS INTERN. UIBNET PRO
Fees & Charges,IT BUS NATION. UIBNET PRO
Fees & Charges,FRAIS REMISES CHQ
Fees & Charges,AVAL PAYE
Fees & Charges,IT PRO
Fees & Charges,IT BUSINESS INETRNATIONAL SMS
Fees & Charges,IB@NKING MT940 CONFRERE
Fees & Charges,PPOSITION
Fees & Charges,ACK PLATINE DC
Fees & Charges,OUVER REMDOC EXP
Fees & Charges,ACK PLATINE INR
Fees & Charges,IT BUS NATION. UIBNET SMS PRO
Fees & Charges,IT MASTERCARD NAT UIBNET SMS
Uncategorized,TOMBEE BDC
Uncategorized,ETRAIT DIVERS
Fees & Charges,BONNEMENT CARTE MOUV
Fees & Charges,BONNEMENT CARTE BUSINESS NAT
Fees & Charges,BONNEMENT C. BUSINESS INTER
Fees & Charges,PPOSITION CHQ
Fees & Charges,NOUVEAUX DIGIPASS
Uncategorized,ETRAIT DEVISE FIXING
Fees & Charges,IT PRO ALLIANCE
Fees & Charges,REFECTION CARTE VE
Fees & Charges,IT TP MESSAGEK
Fees & Charges,TRF-INTRA-FIXING
Uncategorized,MODIFICAT° EFFET
Fees & Charges,IT BUS INTETN. UIBNET SMS PRO
Fees & Charges,IT TP UIBNET
Uncategorized,OD MM DINAR
Fees & Charges,IT BUSINESS NATIONALE SMS
Fees & Charges,IMPAYES DE CONSOLIDATION
Fees & Charges,ACK PLATINE D
Fees & Charges,TRF-SANS FRAIS-FIXING
Uncategorized,ETRAIT DEV/CHQ
Fees & Charges,REGUL RECOUV CLT
Fees & Charges,LOCATION COFFRE-FORT
Fees & Charges,COMMISSION / AVA
Fees & Charges,BONNEMENT UIB@NKING
Fees & Charges,IT OXYGENE UIBNET SMS
Uncategorized,VIR SEUIL
Uncategorized,REMB AVANCE CAT
Fees & Charges,IT MASTERCARD NATIONAL UIBNET
Fees & Charges,REG CREDOC EXP N CONF CLIENT
Fees & Charges,SAISIE D'OBLIGATION CAUTIONNEE
Fees & Charges,ABON CARTE PLAT. BUSINES INTER
Uncategorized,PROROGAT° EFFET
Fees & Charges,OKER PRO KIT PRO
Uncategorized,TRF-SANS FRAIS-NEGOCIE
Uncategorized,RH- SALAIRES ET PRIMES
Fees & Charges,BONNEMENT MASTER NAT
Fees & Charges,BONNEMENT CARTE CIBT
Fees & Charges,REGLEMENT ECHEANCE ALTERNA
Uncategorized,NTERETS / AVANCE CAT
Fees & Charges,IB@NKING INTRADAY MT942
Fees & Charges,AVA FRAIS MENSUEL
Uncategorized,TRAITEMENTS BOURSE
Uncategorized,CUSTODY
Fees & Charges,BONNEMENT CARTE PLATINUM BUSI
Fees & Charges,BONNEMENT PLATINUM NAT
Fees & Charges,RECHARGE GAB
Uncategorized,OUVER EFEET IMP DOM
Uncategorized,REG TOTAL / PART IMP KH
Uncategorized,TRF-SGMT-VAL JOUR
Fees & Charges,AISIE D'AVAL EN DINARS
Uncategorized,GESTION FONDS BCT / LCE
Fees & Charges,UV CREDOC EXP NON CONF CLIENT
Fees & Charges,BONNEMENT MASTER INT
Fees & Charges,ODIF REMDOC EXP
Fees & Charges,PROVISION COFFRE FORT
Uncategorized,TRF-INTRA-NEGOCIE
Fees & Charges,RAIS CONTENTIEUX
Uncategorized,REG CNP CHQ N°
Fees & Charges,RETENUE-SOURCE / PV
Fees & Charges,IB@NKING DEVISES MT101
Fees & Charges,BONNEMENT SAFAR CARD
Fees & Charges,AISIE AUTRES CAUTIONNEMENTS
Fees & Charges,BONNEMENT PLATINUM INTERNAT
Fees & Charges,MODIF REMDOC IMP DOM
Fees & Charges,REFECTION CARTE OXY
Fees & Charges,ECHEANCE DAT NANTI
Fees & Charges,AGIOS DU JJMMAA AU JJMMAA
Fees & Charges,INT RETARD / IMP
Fees & Charges,HARGEMENT CARTE MOUV
Uncategorized,TRF/CHQ INTRA MM DEV AUTR AGE
Fees & Charges,EFECTION CARTE KINZ
Uncategorized,EMB AVANCE SUR BDC
Uncategorized,REG PAYE EFFET IMP DOM
Fees & Charges,HQ EN TND / CPTE EN DEV
Uncategorized,TRF-FINAN-VALEUR JOUR
Fees & Charges,BONNEMENT UIB SIOR
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter MAGAZIN ZEDD SFAX
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES JEBEL MOUFIDA
Travel,PAIEMENT TPE PORTEUR UIB HOTELS-LODING HOTEL JASMIN
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERMARCHE SHOPPING CLUB
Auto & Transport,PAIEMENT TPE PORTEUR UIB AUTOMOBILE DEALERS STE AUTOMOBILES ET DEVEL
Food & Dining,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES PATISS MASMOUDI LA MARSA
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LE KRAM/SODEXO
Auto & Transport,PAIEMENT TPE PORTEUR UIB Petroleum/Petrol products Station de services
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE SEMA GRAIET MONASTIR
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS SIPAH REST LE PIRATE
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter MAGAZIN ZEDD SFAX
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BOUSSAFARA FATMA
Shopping,PAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN MONASTIR
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS PARADIS DE LA MARSA
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE JOLIESSE NEGOCE
Food & Dining,PAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO
Health & Fitness,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CLINIQUE LES VIOLETTES
Auto & Transport,PAIEMENT TPE PORTEUR UIB Petroleum/Petrol products MOUHAJRI STATIONS SERVICES TOTAL
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS STE BBM RESTAURATION
Health & Fitness,PAIEMENT TPE PORTEUR UIB HOSPITALS I.H.C.T
Bills and Utilities,PAIEMENT TPE PORTEUR UIB TELECOMMUNICATIONS EQUP. RECHARGE DAB UIB
Food & Dining,PAIEMENT TPE PORTEUR UIB BAKERIES STE  RAIS DE COMMERCE
Personal Care,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE MUGUET PARFUM
Shopping,PAIEMENT TPE PORTEUR UIB SPORTING GOODS STORES DECATHLON TUNISIE SARL
Personal Services,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CHANGUEL KARIM
Auto & Transport,PAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO MR BARG SADOK B SALAH
Education,PAIEMENT TPE PORTEUR UIB BOOK STORES ESPACE KOUNOUZ
Health & Fitness,PAIEMENT TPE PORTEUR UIB MEDICAL LABORATORIES LABORATOIRE D'ANALYSE ME
Travel,PAIEMENT TPE PORTEUR UIB HOTELS-LODING HTL RIADH PALMS
Shopping,PAIEMENT TPE PORTEUR UIB HARDWARE STORES STE ITECH PRO
Travel,PAIEMENT TPE PORTEUR UIB Tunis Air TRANSPORT AERIEN
Personal Care,PAIEMENT TPE PORTEUR UIB HEALTH SPA /BEAUTY SPA LILI FORM
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS MAGASIN GHARBI / SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS STE 101 SARL
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LA MARSA/SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS STREET FOOD SOLUTIONS
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE FTOUH ABID
Personal Care,PAIEMENT TPE PORTEUR UIB BEAUTY SHOPS BEAUTY SHOP
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BELHADJ WAFA
Food & Dining,PAIEMENT TPE PORTEUR UIB BAKERIES PATISSERIE MASMOUDI  LA
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter STE RAMOUNA DE COMMERCE
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BEN ABDALLAH ANIS
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS ENNASR MARKET/SODEXO
Personal Services,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES STE LAQUIMCO
Personal Services,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES BALTI ET BALTI
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE AYACHI ELYES
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PCIE SLIMANE ABDELMONEM
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS ZAHOU SALEM -SUPERETTE S
Shopping,PAIEMENT TPE PORTEUR UIB SHOE STORES OLFA EL GHARBI
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BEN HASSINE AM
Shopping,PAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC ste alliance diffusion
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE AOUANI CHERIFA
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter PRET A PORTER ANGELITA
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS STE LICOSA
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter CHELBI MOHAMED AMINE
Shopping,PAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC STE PRIX CHOC __
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE SASSI JIHENE
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT PANORAMA _
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES HAFFANI MOUNA
Shopping,PAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN KAIROUAN__
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE OUERGUI
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS SMUG S LAC/SODEXO
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE  SELLAMI   MOUNIR
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  ENNASR/SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS THE SQUARE / SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LAOUINA/SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS STE FRIENDS COMPANY
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARTHAGE/SODEXO
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE DE NUIT ABOUDA
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  BARDO/SODEXO
Shopping,PAIEMENT TPE PORTEUR UIB WOMENS ACCESSORY GLOBAL RETAIL
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS CHILIS EL MANAR / SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS FAST FOOD AMIGOS/SODEXO
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE HAMADA  OUMELK
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS PIZZERIA HAMHAMA/SODEXO
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE  KHEDER ET HEL
Travel,PAIEMENT TPE PORTEUR UIB HOTELS-LODING HOTEL DAR ZAGHOUAN
Personal Services,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES vente de tickets restaurant
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT COIN DE LA MER
Education,PAIEMENT TPE PORTEUR UIB STATIONERY STORES FRIKHA MOUNIR
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE BACCOUCHE
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS SOCIETE PRIMOSHOP
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MINI MARKET
Shopping,PAIEMENT TPE PORTEUR UIB SHOE STORES SOCIÉTÉ   JOLIESSE   NÉG
Shopping,PAIEMENT TPE PORTEUR UIB Tourist Attractions and Exhibits STE MERIAM SARL
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MELLOULI DONIA
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS FOOD FASHION
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD NABEUL
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BEN MEDDEB
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE ABDELLAOUI HABIB
Shopping,PAIEMENT TPE PORTEUR UIB FAMILY CLOTHING STORES ste nabeul sport
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE AV DE PARIS/SODEXO
Health & Fitness,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CLUB NAUTIQUE SIDI BOU SA
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT DAR BELHADJ
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT EL BACH HEFDHI
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BELHEDI SEMIA
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS FOUDHAILY SHOPPING /SODEXO
Shopping,PAIEMENT TPE PORTEUR UIB SHOE STORES STE JOLIESSE NEGOCE
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  HANNIBAL/SODEXO
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE AROUA / SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  MANOUBA/SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS CAFE RESTAURANT L'ORIENT
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BEN MANSOUR ISKANDAR
Health & Fitness,PAIEMENT TPE PORTEUR UIB OPTICIANS.OPTICAL GOODS SINDA ANTAR
Personal Care,PAIEMENT TPE PORTEUR UIB BEAUTY SHOPS STE JASMINE COSMETICS DI
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MARRAKCHI CHED
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  GABES/SODEXO
Shopping,PAIEMENT TPE PORTEUR UIB SHOE STORES OUSSEMA BEN KHALED MNEJJA
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS ANOUAR MARKET/SODEXO
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter GLOBAL RETAIL COMPANY
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS STE BC DISTRIBUTION
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BOUAOUINA
Health & Fitness,PAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MALEK MBAREK ZARAA
Food & Dining,PAIEMENT TPE PORTEUR UIB BARS LE 716
Auto & Transport,PAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO CHARED ZOUHAIER
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD HAMMAMET
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS MI PRIX MARKET
Personal Services,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES JAMEL HANTATI
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter STE RAMEZ
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter FIRAS ABDELAZIZ
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS MAGASIN BALSAM/SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS PAPA JHONS FLAMINGO  SODEXO
Shopping,PAIEMENT TPE PORTEUR UIB Prêt à porter SOCIETE STYLE FRIPE
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES SOCIETE CHEMLI HOME
Shopping,PAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES TISSU CHEMLI
Health & Fitness,PAIEMENT TPE PORTEUR UIB DOCTORS DR BAHLOUL SONIA
Personal Care,"PAIEMENT TPE PORTEUR UIB BEAUTY SHOPS KESKES MAHASSEN "" CENTRE"
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS CNMT
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARREFOUR/SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  SIDI KHELIFA/ SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO
